filename,text,duration
BV12wo7BPErg_0063,取得同期领先成绩模型总参数1040亿季过参数74亿采用混合线性模型,8.0
BV12wo7BPErg_0064,提升计算效率专为连续的智能体场景设计在同一个测评体系完成同样任务所消耗的Token大概只有另外一个,8.0
BV12wo7BPErg_0065,Transfer Super的十分之一而玉田充吞吐量则是后者的2.2倍,5.099
BV12wo7BPErg_0066,另外蚂蚁灵光推出闪应用功能用户通过自然语言描述可以在30秒内获得一个可交互可分享的手机应用同时,7.955
BV12wo7BPErg_0067,上线社区灵光圈支持用户对他人创建的应用进行意图层面的fork和修改意在打造一个应用版Github,7.596
BV12wo7BPErg_0068,海里经问发布旗舰模型宽三零六maxpreview相较宽三零六plus显著提升智能体编程能力具备更强的世界之声,7.997
BV12wo7BPErg_0069,和指令遵循以及更优的真实场景智能体育知识可靠性表现小米发布MIMO V2.5系列四款模型分别是,8.0
BV12wo7BPErg_0070,MIMO V2.5面向日常问答与多场景应用V2.5 Pro面向长程复杂的软件工程和智能体任务,7.922
BV12wo7BPErg_0071,性能比肩GPD 5.4和Cluid Ops 4.6,2.73
BV12wo7BPErg_0072,还有V2.5 TGS系列就是唱歌模式声音设计声音克隆以及V2.5 ASR提供高精度低延迟,8.0
BV12wo7BPErg_0073,语音识别能力,1.1
BV12wo7BPErg_0074,阅知案面与清华大学的研究者提出名为Private Service的跨数据中心推理架构只在少量全注意力层生成谁上下温床,8.0
BV12wo7BPErg_0075,长度线性增长的KB cash其余大部分层只维护与长度无关的小状态从而显著降低每单位算力对应的KB传输量,8.0
BV12wo7BPErg_0076,让长上下纹的御田阶段可以在远端算粒密集但带宽普通的集群上完成再把精简厚的,8.0
BV12wo7BPErg_0077,状态跨数据中心回传给本地集群做解码在一个以万亿参数混合模型的实测中该架构的远端御田,8.0
BV12wo7BPErg_0078,加本地解码将总体服务吞吐量提升32%到54%并通过双时间尺度调度算法在突发负责,8.0
BV12wo7BPErg_0079,和易购网络条件下保持高利用率有助于在多云多地域顺利碎片化的环境中大规模部署长双下纹模型,7.7
BV12wo7BPErg_0080,AI编程智能体公司Factory完成1.5亿美元系列融资估值15亿美元集合新产品Droids面向企业工程团队,7.942
BV12wo7BPErg_0082,自带独立的开发环境文件系统和凭证配置支持远程编排排队连夜跑任务和构建在后台持续运行,8.0
BV12wo7BPErg_0083,速度研究的智能体越跑越聪明2025年6月成立的AI初创公司永乐智能近日完成5000万美元新额融资,8.0
BV12wo7BPErg_0084,今年累计融资已近1亿美元其产品Loopit是一个面向消费端的AI交互式内容平台被称为可以玩的抖音,8.0
BV12wo7BPErg_0085,用Playable抖音然后可以创作并发布全模态交互式内容Forbes发布第八届AI50榜单指出,8.0
BV12wo7BPErg_0089,工具等等AI创业版图正从少数巨头扩散为多赛道齐头并进的生态这期节目就到这里今天提到的论文以及项目,8.0
BV13h4y1U7pq_0000,大家好这几天我在看个人大模型Personal AI发现一个非常赞的平台就是这个Pytalk,7.984
BV13h4y1U7pq_0001,这个PI代表个人智能昨天我和他聊了一些关于人生,8.0
BV13h4y1U7pq_0002,方向的事情发现他给我的建议相当赞今天我们也来和他聊一些话题,4.476
BV13h4y1U7pq_0009,那他说了不是每个人都有一个非常远大的计划和宏伟的目标的那昨天我看书还看到这样一句话说,7.802
BV13h4y1U7pq_0010,就是你的目标就应该是过程本身他引用了一句名言,7.973
BV13h4y1U7pq_0012,生活时间过得很快如果你不停下来看一看的话可能就会做过好多事情,5.415
BV13h4y1U7pq_0014,那我应该有一个目标吗,1.558
BV13h4y1U7pq_0015,并不是一定要有目标的但是有目标的话,7.965
BV13h4y1U7pq_0022,那还有一些人他可能会觉得这样会比较束缚自己,8.0
BV13h4y1U7pq_0024,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,6.484
BV13h4y1U7pq_0030,那这里我说的flow和上文他提到的flow其实不是完全一样的含义前面他说的girl with the flow的flow是指,7.997
BV13h4y1U7pq_0036,而且他是比较有挑战性的可以让你专注的去做这件事情的就是他要你要足够喜欢而且他要,7.902
BV13h4y1U7pq_0039,设置一个具体的目标还有,3.388
BV13h4y1U7pq_0040,适当的休息以及经常练习,2.208
BV13h4y1U7pq_0048,我喜欢好事物,1.144
BV13h4y1U7pq_0050,很重要的就是感受这个街拍,3.367
BV13h4y1U7pq_0052,是爵士,1.893
BV13h4y1U7pq_0058,他说这个对舞者来说是非常重要的,8.0
BV13h4y1U7pq_0059,正常的事情,1.296
BV13h4y1U7pq_0060,"可以很艱辛地放棄,只是享受一段時間。你認為這是一種緊張,還是一種高能量的性格讓你放鬆?",7.997
BV13h4y1U7pq_0064,如果你跳舞的时候不能放松的话就拥抱这样紧张的状态,6.77
BV13h4y1U7pq_0068,那如果紧张他就跳不好了,1.669
BV13h4y1U7pq_0071,就适度的这个,1.792
BV13h4y1U7pq_0072,发力或者说紧张这个的这样的状态是有好处的但是如果,4.707
BV13h4y1U7pq_0074,享受让音乐带着你走,2.762
BV13h4y1U7pq_0076,哈比斯你有什么爱好呢?,2.059
BV13h4y1U7pq_0077,他说如果有爱好的话那可能会是像,4.513
BV13h4y1U7pq_0080,现在我们来问一些比较令人纠结的问题比如,4.728
BV13h4y1U7pq_0083,"婚姻是一生的承诺,并不一定适合每一个人。",8.0
BV13h4y1U7pq_0085,你想要从一段关系中获得什么,3.485
BV13h4y1U7pq_0087,你到了年龄就该结婚了所以你就应该马上结婚并不是这样重要的是,7.979
BV13h4y1U7pq_0088,你需要开心要感到满足,2.282
BV13h4y1U7pq_0090,那我来提一下年龄,5.748
BV13h4y1U7pq_0091,到我已经三十多岁了,1.69
BV13h4y1U7pq_0093,他和上一段的连接是非常好的虽然这里没有背景他还是联系上面我再问他我是否应该结婚,7.999
BV13h4y1U7pq_0094,只是因为你的这个牛油果,7.999
BV13h4y1U7pq_0098,三十是新的二十歲,6.252
BV13h4y1U7pq_0104,就是他给我的一些建议,1.247
BV13h4y1U7pq_0105,那这个我已经有了就是一个人可以完成的爱好,7.991
BV13h4y1U7pq_0106,有时也会去沉浸于自然拥抱这样的安静,8.0
BV13h4y1U7pq_0111,爱是什么?,1.176
BV13h4y1U7pq_0112,爱是一个非常复杂的也是非常主观的概念,7.919
BV13h4y1U7pq_0116,如果你爱一个人就会想要支持他想要让他开心并且感到满足,5.692
BV13h4y1U7pq_0117,还有爱可以有很多种形式但它总是基于相互尊重相互信任的基础之上的,7.231
BV13h4y1U7pq_0122,如果你,1.578
BV13h4y1U7pq_0125,"在恋爱中,恋爱是一种情绪滑车,它可以令人惊喜,惊喜,惊喜。",7.976
BV13h4y1U7pq_0127,情感的情绪会像过山车一样,8.0
BV13h4y1U7pq_0128,not happy如果在一段关系中我不开心的话应该和对方分手吗,4.803
BV13h4y1U7pq_0132,就是一个持续性的问题还是只是当下一个特殊的阶段,7.999
BV13h4y1U7pq_0135,如果这段关系没有让你做最好的你自己那这就是一个问题,7.931
BV13h4y1U7pq_0136,"它不是很容易触碰,但它是一个圖案。但如果它是一個圖案,可能是時候考慮如果這是對的配合你。",7.958
BV13h4y1U7pq_0137,如果你持续的不开心的话你需要思考对方是正确的人吗,4.657
BV13h4y1U7pq_0139,不公平的事情如果不开心的话,2.134
BV13h4y1U7pq_0144,而如果对方说我很难沟通都是我的错怎么办呢,3.557
BV13h4y1U7pq_0146,不要走怪你自己,7.946
BV13h4y1U7pq_0153,那我符合他这句话我说对他当然不是很好的沟通者,4.166
BV13h4y1U7pq_0156,"之類的交流技巧,然後飛起船上。",2.571
BV13h4y1U7pq_0160,like a child但他说我就像个孩子,3.385
BV13h4y1U7pq_0164,"如果您問我,這有點兒子的感覺。",2.983
BV13h4y1U7pq_0165,他说你像个孩子本身就非常幼稚,2.685
BV13h4y1U7pq_0168,"是很重要的,你必须自己站起来,并且不要让别人用恶意的语言去拒绝你的想法和感情。",6.476
BV13h4y1U7pq_0169,你需要成为你自己的伙伴站在自己的这一方捍卫自己,3.764
BV13h4y1U7pq_0172,在幫助你成長,1.746
BV13h4y1U7pq_0173,如果对方说这个话是尊重你的而且是想帮助你成长的话需要保持开放的心态去听一听呃反思一下是否需要走出,7.995
BV13h4y1U7pq_0176,我好像没有什么想说的谢谢你,2.389
BV13h4y1U7pq_0179,这句话说的,1.734
BV13h4y1U7pq_0180,要提醒你你是一个非常好的人你是一个非常非常赞的人那如果有人想要让你觉得,7.253
BV13h4y1U7pq_0181,自己不好的话那这个人根本不值得你去浪费时间,4.262
BV15Z4y1z7L8_0000,大家好那我这两天刚看完一本书宇宙越迁走就是著名科幻作家郝景芳在去年11月出版,8.0
BV15Z4y1z7L8_0001,的一部科幻小说这是他折叠宇宙系列六部曲的第一部讲述2080年人类与外星文明接触的故事,7.572
BV15Z4y1z7L8_0002,故事中出现了诸多我们现在耳熟能详但目前发展远未成熟的技术包括MR Mixed Reality混合现实,7.161
BV15Z4y1z7L8_0003,Holograms全息影像实时建模直播比如在联合国大会上全息直播月球基地的情况,6.556
BV15Z4y1z7L8_0004,增强人类enhanced humans到口穿戴设备可以让人像变形金刚一样甚至更强,6.836
BV15Z4y1z7L8_0005,物联网万物互联可以用权限随意调遣可为万物都听我的指挥,5.859
BV15Z4y1z7L8_0006,当然还有贯穿故事的区块链虽然这里主要是情报交易民意公投的应用场景另外书中还出现了元宇宙,7.965
BV15Z4y1z7L8_0007,但此元宇宙非彼元宇宙这就说到故事情节,3.934
BV15Z4y1z7L8_0008,故事的背景是战争纷扰的2080年联合国偏居异域仍由太平洋联盟和大西洋联盟对战不休,7.947
BV15Z4y1z7L8_0009,四个主人公分别是玩裤子弟江流他是一名天文学博士也是一个区块链情报组织的发起者,6.484
BV15Z4y1z7L8_0010,考古学家云帆这个女孩继承父亲的遗志掌握着对接外星文明的钥匙,5.499
BV15Z4y1z7L8_0011,研究所軍官齊飛他和雲芬是初戀無奈世事弄人時隔多年代表太平洋聯盟帶著任務與,8.0
BV15Z4y1z7L8_0013,退伍空军长天他是齐飞的好兄弟也从小认识云帆开一家生意清淡的小酒馆擅长烹饪,7.984
BV15Z4y1z7L8_0014,提查他人 有点类似打辅助的角色,2.656
BV15Z4y1z7L8_0015,故事线可以从秦始皇陵开始指出其工程之浩大科技之先进实在令人费解云帆确信是外星文,7.943
BV15Z4y1z7L8_0016,这就像其小时候完整看完了第一本书是外星人之谜里面就讲到埃及金字塔的工程量和科技含量,7.996
BV15Z4y1z7L8_0017,当时的条件所无法满足的即使有足够的人力物力技术能力支持在特定的时间内完成那样的工程金字塔,7.976
BV15Z4y1z7L8_0018,这条棱线精准对应的有讲究的经纬度以及金字塔间金字塔内部传说的神秘特性也是现代科技,8.0
BV15Z4y1z7L8_0019,刚刚可以解释甚至仍然不能解释的阿云范认为不仅秦始皇陵是外星文明的杰作地球上极大珠寒,8.0
BV15Z4y1z7L8_0020,几次科技迭代都是在外星人的帮助下完成的,3.842
BV15Z4y1z7L8_0021,经过几番斗智斗勇总之四个主人公乘上江刘家的航天飞机前去接触时隔数百年,7.967
BV15Z4y1z7L8_0022,地球的外星文明,1.385
BV15Z4y1z7L8_0023,外星飞船形似一条巨龙云梵家祖传的黑匣子是钥匙河图洛书的点阵是前两层密码,7.977
BV15Z4y1z7L8_0024,密码是先天八卦和后天八卦,2.151
BV15Z4y1z7L8_0025,代九履一左三右七二四为尖六八为足,3.334
BV15Z4y1z7L8_0026,那走进飞船之后又是几番历险这里略过不说总之他们最后接触到外星人简称呼呼,6.488
BV15Z4y1z7L8_0027,那他们问了呼呼很多问题后来还精神跃迁到了呼呼的星球然后又和呼呼一起回到了地球成立了,7.999
BV15Z4y1z7L8_0028,和獨立組織宇宙越牽扯,2.689
BV15Z4y1z7L8_0029,不许有望叫停战争目标是进阶人类文明,4.395
BV15Z4y1z7L8_0030,具体情节略过这里介绍一下书中几个有趣的概念首先关于信息子书中是这样讲的,7.369
BV15Z4y1z7L8_0031,信息子是纯的信息载体不存在外观和实体信息子就是记录纯粹的信息包括结构信息和病毒,7.958
BV15Z4y1z7L8_0032,它是抽象存在但它是物质的基础如果用游戏做比喻的话信息子可以类比程序员写的,8.0
BV15Z4y1z7L8_0033,程序是一种抽象的信息语言归根结底是数字信号但是程序能产生游戏世界看见的一种,8.0
BV15Z4y1z7L8_0034,而游戏世界的一切变化也都能对应到程序里数字信号的变化说到这里你可能想到了的simulation,8.0
BV15Z4y1z7L8_0035,也就是我们都生活在一个模拟的世界里,4.503
BV15Z4y1z7L8_0036,那么是谁编写了这个世界的程序呢,2.417
BV15Z4y1z7L8_0038,是老鼠这种完美伪装的智慧生物所设计和模拟的,3.976
BV15Z4y1z7L8_0039,或许你也会站在哲学的角度上辨析虚拟和现实其实并没有明确或者必要的界限,6.018
BV15Z4y1z7L8_0040,毕竟如果跳不出去的话也就无所谓是真是假,3.67
BV15Z4y1z7L8_0041,但是这本书说到没有人编写宇宙的程序,3.637
BV15Z4y1z7L8_0042,每一个宇宙都是自组织的数字信息宇宙演化有无穷多种这不是谁编写的而是无穷多个宇宙,7.951
BV15Z4y1z7L8_0043,但是越高明的文明越能反向干预信息子就好像可以反推甚至改写游戏程序,8.0
BV15Z4y1z7L8_0044,心息子一直都在只是目前我们还没有感知它的接收器,3.491
BV15Z4y1z7L8_0045,就像我们只能听到特定频段的声音看到特定光谱的颜色世界还是那个世界,7.969
BV15Z4y1z7L8_0046,对不同物种不同个体来说却有无限种呈现,3.338
BV15Z4y1z7L8_0047,书中写道更高级的文明能够探测并捕捉信息子将其转化为物质的形式再高级一些则可以,7.941
BV15Z4y1z7L8_0048,存储信息子通过变换释放更多能量,3.548
BV15Z4y1z7L8_0049,更高级一些可以利用信息子纠缠跨越宇宙改变其他宇宙的信息子甚至创造新宇宙,7.98
BV15Z4y1z7L8_0050,这是说到第二个概念关于宇宙法则,3.156
BV15Z4y1z7L8_0051,看过大流的三体系列你一定知道黑暗森林法则大概是说宇宙中的外星文明在探测到其他文明的时候,7.999
BV15Z4y1z7L8_0052,为了杜绝后患而直接抹杀其他文明但是这本书有不同的法则,5.119
BV15Z4y1z7L8_0053,在这里元宇宙是指生成所有宇宙的一个抽象概念可以翻译为,5.394
BV15Z4y1z7L8_0055,技术的组织形式我们之后再说,1.845
BV15Z4y1z7L8_0056,书中的宇宙有两股势力一方是吞噬文明能够用信息子操纵万物智慧不在一,7.999
BV15Z4y1z7L8_0057,到了纯粹精神能量的阶段文明和宇宙合一但吞噬文明它是单体意识如果不持续,8.0
BV15Z4y1z7L8_0058,吞噬其他文明就会逐渐枯竭另一方是协助文明协助文明的理念不是划清界限而是,8.0
BV15Z4y1z7L8_0059,建立關係,0.846
BV15Z4y1z7L8_0061,虽然相较吞噬文明协助文明的发展可能会慢一些但是协助文明相信每个个体意识,8.0
BV15Z4y1z7L8_0062,会帮助推进地球文明的发展,4.956
BV15Z4y1z7L8_0065,所有个体都有一个共享的星球意识这样可以实现极大程度的协同最少资源的浪费,6.455
BV15Z4y1z7L8_0066,而在宇宙遇见者的故事中四个主人公也在外星文明的帮助下实现了意识共享而这其中有太多危险,7.847
BV15Z4y1z7L8_0067,但也可以带来巨大的优势,1.72
BV15Z4y1z7L8_0068,这就说到下一个主题关于文明,2.445
BV15Z4y1z7L8_0069,文明真的很难定义首先可以明确的是科技不等于文明而文化信仰伦理道德是不断演化的,7.986
BV15Z4y1z7L8_0070,就难断优劣难分高下似乎也不能作为文明的标识那么如何定义文明的进步呢,8.0
BV15Z4y1z7L8_0071,外星人呼呼指出地球上的几次文明进化表象是农耕文明到电气时代再到信息社会的生产力变革,7.926
BV15Z4y1z7L8_0072,这毕竟是表象唯一重要的是信息交互的层次,4.528
BV15Z4y1z7L8_0073,智人有语言语言是声速传播比身体激素传播快很多频率高很多内容丰富很多,7.316
BV15Z4y1z7L8_0074,农业社会人们定居人口增加相较狩猎采集的部落文明语言交互的信息数量级又上一个台阶,7.933
BV15Z4y1z7L8_0075,之后是文字诞生比日常语言多了空间和时间的维度,4.5
BV15Z4y1z7L8_0076,再然后是近现代科技革命对数学语言的应用那数学信息的抽象程度更高可以突破语言自身,7.962
BV15Z4y1z7L8_0077,信息交互水平更提升了几个数量级,3.489
BV15Z4y1z7L8_0079,大洪水之后讲同一种语言的人们尝试建造通天之塔八别塔上帝震怒于是让人们讲不同的语言,7.804
BV15Z4y1z7L8_0080,制造歧义隔阂于是人们难以合作现在语言之间的沟通似乎不再是难题了不管是几年前,7.918
BV15Z4y1z7L8_0081,纯粹的实时翻译机还是近来名声大噪的英伟大Maxine,3.944
BV15Z4y1z7L8_0082,机器的外语同传水平正在快速发展但是你大概知道,4.553
BV15Z4y1z7L8_0084,就一定会存在信息偏差这种偏差可大可小可以无关紧要也可以导致人类文明的浩劫,7.529
BV15Z4y1z7L8_0085,文明的进步或许确实可以看作信息交互程度的发展要致富先修路路可以是具象的道路roads,7.937
BV15Z4y1z7L8_0088,现在跑回下一个主题关于到分布式自治组织或者区块链去中心化的概念,5.869
BV15Z4y1z7L8_0089,"故事中,江流和齐飞在航天飞机上讨论人心是否可以测算,基于历史数据的预测和计算。",8.0
BV15Z4y1z7L8_0090,相信人心就是行为数据数据足够多人心也能算就像无人车无人机的行为但江流认为,7.994
BV15Z4y1z7L8_0091,人和车是两回事他不看好凑算人心控制民意的可行性,4.665
BV15Z4y1z7L8_0092,而如果你看乌合之众the crowds可能会赞同这个观点,3.813
BV15Z4y1z7L8_0093,群体智慧小于个体智慧之和甚至群体意志是缺乏智慧和理性的,5.447
BV15Z4y1z7L8_0094,从然说到民意似乎就只带一个群体所有个体的意志但事实并非如此大家都在被环境中的不同因素洗脑,7.975
BV15Z4y1z7L8_0095,藉由天时地利或者哪个小小的契机一个一开始没有什么人际的观念也可以很快成为多数人笃信的真理,7.244
BV15Z4y1z7L8_0096,相留认为每人行本意自是名义古人没有办法沟通才需要天选代理人做王者但现在在,8.0
BV15Z4y1z7L8_0097,人人平等公开透明所有人都做了选择之后自有公益区块链成熟之后是自由的,8.0
BV15Z4y1z7L8_0098,全球的不分地域的因此不会有谁没有生存空间,3.722
BV15Z4y1z7L8_0099,所有人都做了选择之后自有公义,3.278
BV15Z4y1z7L8_0100,但这里的前提是所有人的选择都是经过自己理性思考感性定夺之后做出的选择但是这一点首先就很难实现,7.864
BV15Z4y1z7L8_0101,比如有的人就是懒得思考不在乎决策结果那有的人只看感性不讲理性有的人被洗脑而不自主,7.926
BV15Z4y1z7L8_0102,被用作武器伤害自己有的人目光短浅只要迎头小利简言之如果一个问题的决策权,8.0
BV15Z4y1z7L8_0103,平均的交到每个人的手上很难想象角色结果是充分权衡利弊的哪怕是非常局限的权衡利弊,7.22
BV15Z4y1z7L8_0105,中心化是不可或缺的,1.637
BV15Z4y1z7L8_0106,更何况区块链其实并不能让一个问题的决策权平均的交给每个人因为决策结果只有一个和传统决策一样,7.874
BV15Z4y1z7L8_0107,一个结果不能代表所有个体的意志甚至不能代表多数人的意志因为每个人在链上的话语权不会是平均对等的,7.974
BV15Z4y1z7L8_0108,它与你的资产,1.472
BV15Z4y1z7L8_0109,历史贡献等等都息息相关,1.864
BV15Z4y1z7L8_0110,刘宇坤的小说拜占庭同情就讲到一个慈善组织凭借传统组织的背景和资源掌握了去中心化网络,8.0
BV15Z4y1z7L8_0111,的中心话语权,1.592
BV15Z4y1z7L8_0112,或许不能因为手握一把锤子就把什么都看作钉子区块链的去中心化有它适用的场景比如智能合约,7.967
BV15Z4y1z7L8_0113,或者一定范围内的民意决策但是如果涉及重要问题的民意决策区块链未必是万能钥匙,8.0
BV15Z4y1z7L8_0114,不是区块链的问题,1.405
BV15Z4y1z7L8_0115,只要区块链还连接着人类这个不能剔除的薄弱环节,4.334
BV15Z4y1z7L8_0116,书中有这样两段话,1.72
BV15Z4y1z7L8_0117,文明之根基在思想交流唯有思想交流可生成永世不截之精神能量,6.357
BV15Z4y1z7L8_0118,地球文明几次飞速进化都是因为信息沟通方式有了大跨度的提升未来如果想要再次获得跨越式发展,8.0
BV15Z4y1z7L8_0119,需要提升地球人沟通交流的水平,2.517
BV15Z4y1z7L8_0120,你怎么看区块链在民意决策方面的应用呢,3.518
BV15Z4y1z7L8_0121,你认为我们的人类的交流方式下一次飞跃式的提升会在哪个方向出现,7.963
BV15Z4y1z7L8_0123,顺带说一下之所以把标题称作2080年的十字路口是因为不是说,7.972
BV15Z4y1z7L8_0124,四个主人公他们实现了意识共享但现在只是他们四个人实现了意识共享如果人类想要呃,7.597
BV15Z4y1z7L8_0125,共享意识的话由于精神能量可以和物质相互作用那人类是很有可能,7.935
BV15Z4y1z7L8_0126,被互相的恶意所杀死的就是这个故事中有一个情节是两个男主人公江流和齐飞他们两个人,8.0
BV15Z4y1z7L8_0127,在经过这个外星人飞船的一个船舱的时候就是那段船舱他们的精神,8.0
BV15Z4y1z7L8_0128,会和信息子发生作用于是他们对对方的敌意就会具象成,5.042
BV15Z4y1z7L8_0129,真实的武器就是物质化的武器去攻击对方差点把对方杀死如果怎么说就是如果很多问题都,7.916
BV15Z4y1z7L8_0131,科技真的是不能说科技吧就是,2.867
BV15Z4y1z7L8_0133,还有可能是会带来毁灭的,1.496
BV161421r7RR_0000,大家好这里是AI大幕新周报2024年6月的第4期,3.4
BV161421r7RR_0001,Runway推出视频生存模型Gen3 Alpha在Gen2的基础上大幅提升保证度和一致性更加流畅自然,7.979
BV161421r7RR_0003,提供更多支持细腻度控制的功能,5.134
BV161421r7RR_0005,能够生成与视频内容同步的声音效果包括音乐音效人声比如这个,6.307
BV161421r7RR_0006,在视频音频之外V2A的训练还用到AI生成的注视包括生成音效描述和对话脚本将特定的,7.942
BV161421r7RR_0008,字节跳动Seed Team推出文本生成语音系列模型Seed TTS能够生成与真实人生并无二致的语音,7.983
BV161421r7RR_0009,支持控制各种声音特征比如声音的感情色彩包括愤怒开心悲伤疑惑也可以根据音色提升,8.0
BV161421r7RR_0010,来将原音频的内容转换成声线与气一致的音频比如这个,6.292
